Period,Age,Susceptible Number,Infectious Presymptomatic Number,Recovered Number,scenario
150,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
150,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
151,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
151,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
151,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
151,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
152,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
152,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
152,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
152,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
153,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
153,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
153,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
153,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
154,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
154,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
154,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
154,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
155,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
155,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
155,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
155,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
156,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
156,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
156,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
156,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
157,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
157,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
157,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
157,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
158,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
158,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
158,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
158,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
159,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
159,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
159,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
159,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
160,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
160,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
160,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
160,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
161,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
161,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
161,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
161,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
162,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
162,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
162,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
162,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
163,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
163,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
163,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
163,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
164,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
164,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
164,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
164,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
165,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
165,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
165,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
165,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
166,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
166,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
166,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
166,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
167,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
167,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
167,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
167,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
168,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
168,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
168,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
168,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
169,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
169,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
169,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
169,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
170,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
170,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
170,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
170,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
171,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
171,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
171,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
171,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
172,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
172,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
172,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
172,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
173,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
173,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
173,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
173,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
174,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
174,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
174,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
174,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
175,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
175,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
175,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
175,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
176,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
176,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
176,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
176,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
177,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
177,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
177,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
177,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
178,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
178,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
178,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
178,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
179,0,925302,0,0,graph__test__tract_init_infectors__test_strat__result
179,1,2936160,0,0,graph__test__tract_init_infectors__test_strat__result
179,2,15912458,0,0,graph__test__tract_init_infectors__test_strat__result
179,3,3787315,0,0,graph__test__tract_init_infectors__test_strat__result
0,4,23561235,1,0,graph__test__tract_init_infectors__test_strat__result
1,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
2,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
3,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
4,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
5,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
6,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
7,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
8,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
9,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
10,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
11,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
12,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
13,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
14,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
15,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
16,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
17,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
18,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
19,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
20,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
21,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
22,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
23,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
24,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
25,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
26,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
27,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
28,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
29,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
30,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
31,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
32,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
33,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
34,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
35,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
36,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
37,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
38,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
39,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
40,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
41,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
42,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
43,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
44,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
45,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
46,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
47,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
48,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
49,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
50,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
51,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
52,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
53,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
54,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
55,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
56,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
57,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
58,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
59,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
60,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
61,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
62,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
63,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
64,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
65,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
66,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
67,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
68,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
69,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
70,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
71,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
72,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
73,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
74,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
75,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
76,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
77,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
78,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
79,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
80,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
81,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
82,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
83,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
84,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
85,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
86,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
87,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
88,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
89,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
90,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
91,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
92,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
93,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
94,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
95,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
96,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
97,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
98,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
99,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
100,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
101,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
102,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
103,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
104,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
105,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
106,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
107,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
108,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
109,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
110,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
111,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
112,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
113,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
114,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
115,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
116,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
117,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
118,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
119,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
120,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
121,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
122,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
123,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
124,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
125,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
126,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
127,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
128,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
129,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
130,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
131,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
132,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
133,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
134,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
135,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
136,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
137,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
138,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
139,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
140,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
141,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
142,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
143,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
144,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
145,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
146,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
147,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
148,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
149,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
150,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
151,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
152,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
153,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
154,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
155,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
156,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
157,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
158,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
159,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
160,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
161,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
162,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
163,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
164,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
165,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
166,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
167,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
168,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
169,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
170,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
171,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
172,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
173,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
174,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
175,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
176,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
177,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
178,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
179,4,23561235,0,0,graph__test__tract_init_infectors__test_strat__result
